一一	fhfh
感动	ufpa
感化	ufkh
感受	ufte
感召	ufki
感召力	ukau
感叹	ufiw
感叹句	uitq
感叹号	uiif
感同身受	uzlt
感天动地	ufpb
感奋	ufxs
感官	ufeu
感应	ufgh
感念	uftp
感怀	ufnc
感性	ufnd
感性认识	unvv
感恩	ufux
感恩图报	uuup
感恩戴德	uugj
感恩节	uuww
感悟	ufnj
感情	ufnz
感情用事	unqf
感想	ufag
感愧	ufnb
感慨	ufnt
感慨万千	unfh
感戴	ufgi
感抗	ufpu
感染	ufhd
感染力	uhau
感染者	uhrj
感激	ufhd
感激不尽	uhcm
感激涕零	uhht
感知	ufei
感观	ufwu
感觉	ufhe
感觉到	uhck
感触	ufrq
感言	ufme
感谢	ufvl
感遇	ufsf
愣了	nyfu
愣住	nyko
愣怔	nynf
愣愣	nyny
愣是	nyjk
愣着	nyig
愤世嫉俗	nxsk
愤怒	ngsw
愤恨	ngnt
愤愤	ngng
愤愤不平	nncl
愤慨	ngnt
愤懑	nghw
愤激	nghd
愤然	ngml
愤青	ngzm
愧不敢当	ncpo
愧为	nboa
愧对	nbwl
愧怍	nbne
愧悔	nbnl
愧疚	nbxr
愧痛	nbxn
愧色	nbre
愿不愿意	ocoa
愿同	odzf
愿意	odan
愿景	odjw
愿望	odxm
愿者上钩	ordc
愿赌服输	odmy
慈不掌兵	vcxo
慈和	vbzi
慈善	vbiv
慈姑	vbsq
慈悲	vbdn
慈母	vbqt
慈爱	vbte
慈父	vbvo
慈眉善目	vmig
慈祥	vbdi
慈禧	vbdh
慈禧太后	vdxo
慈颜	vbyo
慌不择路	ncpu
慌乱	nwvp
慌了	nwfu
慌张	nwox
慌忙	nwnx
慌慌张张	nnoo
慌里慌张	ndno
慎之又慎	ndwn
慎独	nglj
慎用	ngql
慎重	nghd
慎防	ngtm
慑服	nqmw
慕名	wjxi
慕名而来	wxuj
慕容	wjep
慕尼黑	wmuc
慕斯	wjmv
慢了	njfu
慢于	njfg
慢些	njlh
慢件	njkl
慢动作	npke
慢吞吞	nffx
慢咽	njiu
慢坡	njbe
慢待	njjb
慢性	njnd
慢性病	nnxf
慢悠悠	nkkk
慢慢	njnj
慢慢地	nnbh
慢慢悠悠	nnkk
慢慢的	nnds
慢慢腾腾	nnmm
慢摇	njpt
慢条斯理	njmg
慢歌	njzz
慢火	njyv
慢点	njdi
慢热	njpt
慢用	njql
慢着	njig
慢腾腾	nmmv
慢行	njfj
慢说	njvv
慢走	njqo
慢跑	njus
慢车	njyf
慢速	njul
慢道	njvc
慢镜头	nclx
慧心	zzng
慧根	zzat
慧眼	zzgt
慧能	zznm
慧黠	zzum
慨叹	ntiw
慨然	ntml
慰劳	mdwe
慰勉	mdza
慰安	mdes
慰安妇	mess
慰藉	mdwf
慰问	mdbi
慰问品	mbir
慰问团	mbug
慰问电	mbjp
慵懒	ngnu
慷慨	ngnt
慷慨激昂	nnhj
慷慨解囊	nnrg
慷慨陈词	nntv
憋在	krgk
憋屈	krmi
憋气	krfq
憋着	krig
憋闷	krbn
憎恨	nvnt
憎恶	nvfo
憔悴	nvnu
憧憬	nynj
憨厚	pqoj
憨实	pqel
憨态	pqxo
憨态可掬	pxzp
憨直	pqgg
憨笑	pqzc
憩室	vcec
憩息	vccn
懂了	nwfu
懂事	nwfi
懂你	nwkr
懂得	nwjj
懂行	nwfj
懈怠	nrni
懊丧	ncbv
懊恼	ncnu
懊悔	ncnl
懊悔不已	nncn
懒于	nufg
懒人	nusi
懒得	nujj
懒惰	nung
懒懒	nunu
懒懒散散	nnxx
懒散	nuxm
懒汉	nuhw
懒洋洋	nhhi
懒猫	nulw
懒猴	nulk
懒腰	numq
懒虫	nujw
懒鬼	nuby
懦夫	ntsv
懦弱	ntol
懵懂	nwnw
懵懵懂懂	nnnn
懵逼	nwfi
懿旨	mehj
戈壁	ierb
戈壁滩	irhw
戈尔	iero
戈尔巴乔夫	ires
戈比	iehh
戊戌变法	uuuh
戌时	ufjl
戍边	uoal
戎机	igap
戎狄	igly
戎装	ignm
戎马	igxh
戎马一生	ixfd
戎马倥偬	ixkk
戏侮	wikl
戏剧	wimq
戏剧性	wmnd
戏台	wini
戏场	wibp
戏子	wiyd
戏弄	wigw
戏文	wiwm
戏曲	wirw
戏服	wimw
戏楼	wiam
戏水	wihg
戏法	wihb
戏照	wijk
戏珠	wigc
戏班	wigk
戏目	wigy
戏码	wiqx
戏票	wiqd
戏称	wizr
戏精	wimz
戏耍	wius
戏装	winm
戏言	wime
戏评	wivl
戏词	wivp
戏说	wivv
戏谑	wivq
戏迷	wiml
戏里	widn
戏院	wite
成为	upoa
成书	uppp
成了	upfu
成事不足	ufcu
成事在天	ufgf
成交	upco
成交量	ucjf
成交额	uceq
成亲	upya
成人	upsi
成人之美	usdi
成人教育	usrp
成仙	upkd
成份	upkv
成何体统	ukkr
成倍	upky
成像	upkw
成全	upsg
成册	upjz
成分	upvk
成功	upna
成功人士	unsm
成功者	unrj
成千上万	uhdf
成千成万	uhuf
成双	upww
成双成对	uwuw
成反比	uohh
成吉思汗	umsh
成名	upxi
成员	upid
成员国	uiug
成命	upti
成品	upir
成品油	uihi
成器	uprl
成因	upux
成团	upug
成型	upfw
成堆	upbv
成夜	upuk
成天	upfx
成套	upxs
成婚	upsq
成家	upek
成家立业	ueyo
成寐	upen
成对	upwl
成就	upwo
成就感	uwuf
成年	uplg
成年人	ulsi
成年累月	ulsm
成形	upfw
成心	upng
成性	upnd
成才	upgc
成批	upph
成效	upco
成效显著	ucjw
成数	upms
成文	upwm
成文法	uwhb
成日	upje
成本	upaf
成材	upag
成果	upsa
成正比	ufhh
成法	uphb
成活	uphv
成灾	upey
成熟	upwy
成片	upnb
成王败寇	ugde
成瘾	upxt
成百上千	ufdh
成真	upgg
成眠	upgn
成空	upzn
成立	upyq
成章	upag
成竹在胸	uzgm
成算	upzg
成绩	uprz
成绩单	urvs
成绩斐然	urdm
成群	upsc
成群结队	usrt
成色	upre
成荫	upwt
成药	upwr
成虫	upjw
成衣	upor
成见	upuw
成规	upsu
成语	upvj
成语接龙	uvpj
成说	upvv
成败	updr
成败在此一举	udgh
成败得失	udjc
成都	uprj
成长	upxk
成问题	ubjk
成风	uppo
成龙	upjh
我不犯人	ccls
我为鱼肉	coez
我们	cpkb
我们大家	ckxe
我们的	ckds
我俩	cpka
我国	cpug
我市	cpuu
我想	cpag
我所	cpfo
我校	cpac
我爱你	ctkr
我猜	cplz
我的电脑	cdjm
我省	cpoc
我行我素	cfcz
我见犹怜	culn
我觉得	chjj
我院	cpte
戒严	iwfy
戒备	iwjs
戒备森严	ijaf
戒尺	iwmo
戒律	iwju
戒心	iwng
戒惧	iwng
戒指	iwph
戒掉	iwpd
戒断	iwmp
戒条	iwja
戒毒	iwzq
戒烟	iwyu
戒网	iwzo
戒色	iwre
戒酒	iwht
戒除	iwts
戒骄戒躁	ixiu
戕害	niez
或为	iioa
或以	iihs
或则	iidk
或多或少	ixio
或大或小	ixio
或将	iinx
或明或暗	ijij
或是	iijk
或然率	imub
或用	iiql
或称	iizr
或缺	iiue
或者	iirj
或者说	irvv
或许	iivl
战书	dipp
战乱	divp
战争	diru
战事	difi
战云	dipd
战例	dikq
战俘	dikt
战具	digv
战况	dili
战刀	dikg
战列舰	dqlu
战利品	dzir
战前	divm
战力	diau
战功	dina
战区	dieo
战友	digw
战史	diio
战后	diof
战国	diug
战地	dibh
战场	dibp
战壕	dibw
战士	dimf
战备	dijs
战将	dinx
战局	dimp
战幕	diwj
战平	dilv
战役	dijq
战情	dinz
战战兢兢	ddqq
战抖	dipp
战报	dipw
战斗	dipf
战斗力	dpau
战斗机	dpap
战斗英雄	dpwg
战旗	diml
战无不胜	ducm
战时	dijl
战术	diao
战机	diap
战果	disa
战栗	diqa
战歌	dizz
战死	diqh
战火	diyv
战火纷飞	dyri
战犯	dilw
战甲	dist
战略	disq
战略地位	dsbk
战略性	dsnd
战略战术	dsda
战略方针	dsmc
战略物资	dsll
战略目标	dsga
战略要地	dsqb
战略部署	dsyy
战神	didj
战祸	didi
战端	diyd
战线	dirf
战绩	dirz
战网	dizo
战胜	dimd
战舰	dilu
战船	dilp
战表	dizo
战袍	dios
战警	diwt
战败	didr
战车	diyf
战队	dits
战靴	digk
战马	dixh
战魂	dipb
战鹰	digk
战鼓	dihb
戚继光	ursj
戛然	fcml
戛然而止	fmul
戛纳	fcrz
戡乱	mvvp
截住	giko
截击	gipz
截取	giqw
截图	giuj
截断	gimp
截止	gild
截流	gihp
截然	giml
截然不同	gmcz
截然相反	gmao
截留	gifs
截瘫	gixw
截稿	gizw
截肢	gimb
截至	gicy
截获	giwl
截长补短	gxoe
截面	gihf
戮力同心	eazn
戳心	evng
戳破	evqe
戳穿	evzy
戳脊梁骨	elhf
戴上	gidf
戴孝	giry
戴尔	giro
戴着	giig
戴维	girv
戴绿帽子	gruy
戴罪立功	gyyn
户主	fkog
户口	fkiq
户口簿	fizh
户名	fkxi
户型	fkfw
户外	fkxd
户头	fklx
户政	fkfl
户数	fkms
户枢不蠹	facg
户籍	fkzf
戾气	flfq
房东	fmlo
房中	fmik
房主	fmog
房事	fmfi
房产	fmyo
房产证	fyvf
房价	fmks
房内	fmzs
房前	fmvm
房卡	fmdf
房地	fmbh
房地产	fbyo
房型	fmfw
房契	fmzk
房子	fmyd
房客	fmeq
房室	fmec
房屋	fmmc
房展	fmmx
房山	fmds
房市	fmuu
房改	fmjr
房檐	fmar
房款	fmmd
房源	fmho
房租	fmzr
房管	fmze
房管局	fzmp
房舍	fmsv
房补	fmod
房贴	fmdd
房贷	fmkn
房费	fmud
房车	fmyf
房里	fmdn
房钱	fmcf
房门	fmbo
房间	fmbj
房顶	fmuk
所为	fooa
所以	fohs
所以然	fhml
所以说	fhvv
所作	foke
所作所为	fkfo
所做	fokq
所写	foef
所列	foqk
所到之处	fcdj
所剩	fozn
所剩无几	fzup
所动	fopa
所占	fodi
所及	fokd
所受	fote
所向	focz
所向披靡	fcpo
所向无敌	fcuv
所含	fotp
所困	foua
所在	fogk
所在地	fgbh
所在的	fgds
所处	fojd
所学	fohe
所属	fomc
所幸	fobi
所得	fojj
所得税	fjzv
所思	fosn
所想	foag
所愿	food
所持	fopb
所指	foph
所料	fomp
所无	foue
所有	fogm
所有人	fgsi
所有制	fglu
所有权	fgaw
所有的	fgds
所有者	fgrj
所杀	fooa
所欠	fofy
所爱	fote
所犯	folw
所生	fodh
所用	foql
所知	foei
所示	fodd
所称	fozr
所罗门	fybo
所能	fonm
所至	focy
所致	focr
所获	fowl
所要	foqs
所见	fouw
所见所闻	fufb
所见略同	fusz
所言	fome
所说	fovv
所谓	fovs
所赐	fodj
所载	fogi
所辖	foye
所迫	fodl
所述	foao
所选	fola
所造成	flup
所部	foyi
所长	foxk
所闻	fobq
所限	fott
所需	fotu
扁平	fjlv
扁担	fjpj
扁桃	fjaa
扁桃体	faka
扁桃腺	famd
扁舟	fjlk
扁豆	fjei
扁食	fjoz
扁骨	fjfv
扁鹊	fjxj
扇动	fepa
扇区	feeo
扇坠	fets
扇子	feyd
扇形	fefw
扇贝	fedj
扇门	febo
扉页	fdkw
手上	pcdf
手下	pcfd
手下留情	pffn
手下败将	pfdn
手不释卷	pccv
手中	pcik
手书	pcpp
手令	pctn
手信	pckm
手册	pcjz
手写	pcef
手创	pcsw
手到擒来	pcpj
手到病除	pcxt
手动	pcpa
手势	pcpt
手包	pcsd
手印	pcnf
手卷	pcvs
手大	pcxi
手头	pclx
手头紧	plkw
手套	pcxs
手工	pcnv
手工业	pnoq
手工艺	pnwj
手巧	pcnf
手巾	pcuw
手帕	pcud
手心	pcng
手忙脚乱	pnmv
手快	pcne
手感	pcuf
手慢	pcnj
手扶拖拉机	pppa
手把	pcpe
手把手	pppc
手抓	pcpt
手抖	pcpp
手拿	pcti
手持	pcpb
手指	pcph
手指头	pplx
手掌	pcxp
手控	pcpz
手推车	ppyf
手提	pcpj
手提包	ppsd
手提式	ppnn
手提电脑	ppjm
手提箱	ppza
手握	pcpm
手无寸铁	pulc
手无缚鸡之力	pura
手有余香	pgsz
手札	pcap
手术	pcao
手术刀	pakg
手术台	pani
手术室	paec
手机	pcap
手杖	pcaf
手板	pcao
手枪	pcas
手柄	pcaf
手榴弹	paov
手段	pcpf
手气	pcfq
手法	pchb
手淫	pcht
手滑	pchf
手炉	pcyf
手环	pcgc
手球	pcgf
手生	pcdh
手电	pcjp
手电筒	pjzz
手留余香	pfsz
手疾眼快	pxgn
手痒	pcxi
手癣	pcxe
手相	pcag
手眼	pcgt
手眼通天	pgnf
手稿	pczw
手笔	pczo
手紧	pckw
手纸	pcrq
手纹	pcrw
手绘	pcrs
手绢	pcri
手续	pcrg
手肘	pcml
手背	pcnh
手脚	pcmb
手脚并用	pmvq
手腕	pcme
手臂	pcrm
手舞足蹈	pluu
手艺	pcwj
手表	pczo
手袋	pckn
手记	pcvj
手语	pcvj
手误	pcvi
手谈	pcvy
手谕	pcvt
手账	pcdx
手起刀落	pqkw
手足	pcuz
手足之情	pudn
手足无措	puup
手软	pcyf
手轻	pcyw
手辣	pcju
手边	pcal
手迹	pcuy
手部	pcyi
手里	pcdn
手铐	pccr
手链	pccy
手镯	pccy
手雷	pcts
手风琴	ppgg
手黑	pcuc
手鼓	pchb
才会	gcsp
才到	gcck
才力	gcau
才华	gckh
才华出众	gkis
才华横溢	gkah
才去	gcbn
才叫	gcih
才可	gczj
才可以	gzhs
才可能	gznm
才够	gctx
才女	gcsm
才好	gcsy
才子	gcyd
才子佳人	gyks
才学	gche
才对	gcwl
才尽其用	gmmq
才干	gclr
才德兼备	gjvj
才思	gcsn
才思敏捷	gslp
才怪	gcnw
才情	gcnz
才把	gcpe
才敢	gcpq
才是	gcjk
才智	gcei
才有	gcgm
才来	gcjv
才气	gcfq
才略	gcsq
才疏学浅	gkhh
才算	gczg
才肯	gclm
才能	gcnm
才艺	gcwj
才行	gcfj
才要	gcqs
才让	gcvd
才识	gcvi
才说	gcvv
才貌	gcld
才貌双全	glws
才道	gcvc
才高八斗	gwvp
扎啤	ppid
扎堆	ppbv
扎实	ppel
扎扎实实	ppee
扎染	pphd
扎根	ppat
扎眼	ppgt
扎营	ppwe
扎进	ppbl
扎针	ppcg
扑倒	pdkc
扑克	pdqa
扑击	pdpz
扑向	pdcz
扑哧	pdib
扑救	pdfh
扑朔迷离	pvmu
扑杀	pdoa
扑来	pdjv
扑棱	pdab
扑火	pdyv
扑灭	pdfy
扑空	pdzn
扑簌	pdzu
扑腾	pdmv
扑通	pdnq
扑闪	pdbs
扑面	pdhf
扑面而来	phuj
扑鼻	pdcs
扑鼻而来	pcuj
扒手	pvpc
扒拉	pvpy
扒灰	pvgy
扒皮	pvem
扒窃	pvzl
打上	pudf
打下	pufd
打下手	pfpc
打个	pusk
打中	puik
打乱	puvp
打了	pufu
打交道	pcvc
打人	pusi
打从	puss
打仗	pukf
打伞	pusv
打伤	pukl
打住	puko
打保票	pkqd
打倒	pukc
打假	pukm
打光棍儿	psaa
打入	puxj
打入冷宫	pxle
打出	puiz
打击	pupz
打击乐器	ppnr
打击报复	pppl
打分	puvk
打到	puck
打动	pupa
打劫	pubn
打勾	pusn
打包	pusd
打单	puvs
打卡	pudf
打印	punf
打印机	pnap
打压	puob
打叉	puwo
打发	puiw
打叠	puww
打听	puio
打呼噜	piie
打哈哈	piit
打哈欠	pify
打响	puic
打喷嚏	piig
打嘴	puil
打嘴仗	pikf
打回原形	puof
打圆场	pubp
打圈	puuv
打场	pubp
打坐	puss
打垮	pubx
打夯	puxa
打头	pulx
打头阵	plty
打好	pusy
打孔	puyp
打字	puey
打字员	peid
打字机	peap
打完	puer
打官司	pepf
打官腔	pemz
打定主意	peoa
打家劫舍	pebs
打小报告	popl
打尖	puox
打屁股	pmmq
打岔	puvk
打工	punv
打工仔	pnky
打工妹	pnsj
打平	pulv
打开	pufw
打开天窗说亮话	pffv
打得火热	pjyp
打怪	punw
打情骂俏	pnrk
打成	puup
打成一片	pufn
打战	pudi
打手	pupc
打打杀杀	ppoo
打打闹闹	ppbb
打扫	pups
打扫卫生	ppwd
打扮	pupv
打扰	pupg
打折	pupo
打抱不平	ppcl
打拐	pupi
打招呼	ppic
打拳	puvs
打拼	pupv
打捞	pupw
打探	pupe
打掩护	pppf
打援	pupt
打搅	puph
打散	puxm
打文	puwm
打斗	pupf
打断	pump
打昏	puqj
打春	puzo
打晕	puje
打杂	puda
打来	pujv
打枪	puas
打架	puai
打架斗殴	pape
打样	puai
打桩	puag
打横	puab
打死	puqh
打气	pufq
打油	puhi
打油诗	phvb
打法	puhb
打泡	puhs
打消	puho
打渔	puhe
打游击	phpz
打游戏	phwi
打湿	puhj
打滑	puhf
打滚	puhc
打火	puyv
打火机	pyap
打炮	puys
打点	pudi
打烂	puyv
打烊	puyi
打牌	pund
打牙祭	pyvd
打猎	pulx
打球	pugf
打理	pugd
打瓜	puqj
打电话	pjvv
打的	puds
打盹	pugf
打眼	pugt
打着	puig
打瞌睡	pggh
打破	puqe
打破常规	pqxs
打破沙锅	pqhc
打破沙锅问到底	pqhg
打碎	puqu
打磨	puoq
打私	puzn
打空	puzn
打穿	puzy
打算	puzg
打紧	pukw
打给	purt
打翻	pucm
打肿脸充胖子	pmmy
打胎	pumn
打胜	pumd
打脸	pumt
打苞	puws
打草惊蛇	pwnj
打药	puwr
打落	puwh
打落水狗	pwhl
打词	puvp
打诨	puve
打谱	puvv
打败	pudr
打赌	pudr
打赢	puod
打起	puqj
打起精神	pqmd
打趣	puqq
打躬作揖	plkp
打车	puyf
打转	puyr
打边鼓	pahb
打过	pull
打进	publ
打退	putl
打退堂鼓	ptxh
打通	punq
打造	puli
打道回府	pvug
打酱油	pnhi
打量	pujf
打针	pucg
打铁	pucc
打铃	puct
打错	pucx
打闪	pubs
打闹	pubu
打雪仗	ptkf
打雷	puts
打非	pudm
打靶	puge
打预防针	pmtc
打颤	puuu
打饭	pufo
打马虎眼	pxqg
打骂	purx
打黑	puuc
打黑除恶	putf
打鼓	puhb
打鼾	pucs
扔下	pvfd
扔了	pvfu
扔出	pviz
扔到	pvck
扔在	pvgk
扔掉	pvpd
扔给	pvrt
扔进	pvbl
托付	pckl
托付终身	pkrl
托住	pcko
托儿所	pafo
托孤	pcyq
托尔斯泰	prmz
托尼	pcmh
托幼	pcba
托庇	pcgh
托拉斯	ppmv
托收	pchr
托故	pcqr
托架	pcai
托梦	pcaa
托物言志	plmm
托生	pcdh
托盘	pclb
托着	pcig
托福	pcdf
托管	pcze
托老所	prfo
托词	pcvp
托起	pcqj
托辞	pcvj
托运	pcpl
托马斯	pxmv
扛活	pnhv
扛着	pnig
扣上	pidf
扣下	pifd
扣人心弦	psno
扣住	piko
扣减	pilu
扣分	pivk
扣压	piob
扣去	pibn
扣发	piiw
扣子	piyd
扣押	pips
扣杀	pioa
扣留	pifs
扣眼	pigt
扣篮	pizk
扣紧	pikw
扣缴	pird
扣肉	pizs
扣除	pits
扣题	pijk
执业	ptoq
执事	ptfi
执勤	ptxi
执委	ptzs
执子之手	pydp
执导	ptdl
执念	pttp
执意	ptan
执拗	ptpb
执掌	ptxp
执政	ptfl
执政党	pfxa
执政兴国	pfhu
执教	ptry
执棒	ptaz
执法	pthb
执法不严	phcf
执法如山	phsd
执法必严	phnf
执法犯法	phlh
执泥	pthm
执照	ptjk
执着	ptig
执笔	ptzo
执著	ptwr
执行	ptfj
执行主席	pfog
执行任务	pfkj
执行力	pfau
执迷	ptml
执迷不悟	pmcn
扩产	pgyo
扩充	pgpa
扩军	pgey
扩印	pgnf
扩大	pgxi
扩大再生产	pxgy
扩容	pgep
扩展	pgmx
扩建	pguv
扩张	pgox
扩招	pgpk
扩散	pgxm
扩编	pgrf
扩股	pgmq
扩音	pgar
扪心自问	pncb
扫兴	pshv
扫听	psio
扫地	psbh
扫地出门	pbib
扫堂腿	pxmt
扫墓	pswj
扫射	psll
扫尾	psmo
扫帚	psse
扫帚星	psjd
扫平	pslv
扫把	pspe
扫描	pspw
扫描仪	ppko
扫毒	pszq
扫清	pshz
扫盲	psxg
扫码	psqx
扫腿	psmt
扫荡	pswh
扫街	psfb
扫视	psdu
扫货	pskh
扫过	psll
扫除	psts
扫雷	psts
扫黄	psbx
扫黄打非	pbpd
扬升	ppcw
扬名	ppxi
扬名天下	pxff
扬名立万	pxyf
扬声器	pmrl
扬威	ppuf
扬子江	pyhn
扬子鳄	pyer
扬尘	ppob
扬州	ppjj
扬帆	ppup
扬弃	pppw
扬手	pppc
扬汤止沸	phlh
扬沙	ppho
扬琴	ppgg
扬眉	ppmg
扬眉吐气	pmif
扬言	ppme
扬起	ppqj
扬长	ppxk
扬长而去	pxub
扬长避短	pxre
扭亏	pprp
扭亏为盈	prov
扭伤	ppkl
扭动	pppa
扭头	pplx
扭打	pppu
扭扭捏捏	pppp
扭捏	pppj
扭摆	pppy
扭断	ppmp
扭曲	pprw
扭矩	ppee
扭秧歌	pzzz
扭结	pprm
扭腰	ppmq
扭转	ppyr
扭转乾坤	pygb
扭送	ppvx
扮演	pvhe
扮相	pvag
扮装	pvnm
扮酷	pvtl
扮靓	pvzm
扯平	pllv
扯开	plfw
扯淡	plhy
扯皮	plem
扯腿	plmt
扯蛋	plkj
扯谎	plvw
扯闲篇	pbzf
扰乱	pgvp
扰动	pgpa
扰攘	pgpu
扰民	pgns
扳平	polv
扳手	popc
扳机	poap
扶住	psko
扶养	psio
扶助	psra
扶危济困	prhu
扶手	pspc
扶持	pspb
扶摇	pspt
扶摇直上	ppgd
扶桑	psww
扶梯	psav
扶植	psag
扶正	psfl
扶正祛邪	pfdy
扶疏	pskp
扶病	psxf
扶着	psig
扶老携幼	prpb
扶贫	psvk
扶起	psqj
扶风	pspo
批价	phks
批假	phkm
批准	phlv
批判	phvp
批发	phiw
批发商	piyz
批发市场	piub
批号	phif
批处理	pjgd
批复	phlj
批改	phjr
批文	phwm
批斗	phpf
批次	phlf
批注	phho
批示	phdd
批租	phzr
批评	phvl
批评与自我批评	pvfv
批评家	pvek
批评指正	pvpf
批语	phvj
批转	phyr
批量	phjf
批阅	phbv
批零	phtt
批驳	phxo
扼制	polu
扼守	poel
扼杀	pooa
扼腕	pome
扼腕叹息	pmic
扼要	poqs
找上门来	pdbj
找不到	pcck
找个	pisk
找事	pifi
找人	pisi
找准	pilv
找出	piiz
找到	pick
找回	piui
找她	pish
找寻	pisl
找平	pilv
找找	pipi
找抽	pipi
找来	pijv
找死	piqh
找病	pixf
找碴	piqa
找茬	piwg
找补	piod
找谁	pivv
找辙	piyp
找过	pill
找遍	pifj
找钱	picf
找零	pitt
找麻烦	poyk
承上启下	pdff
承付	phkl
承传	phkr
承保	phki
承做	phkq
承兑	phvi
承前启后	pvfo
承办	phav
承包	phsd
承包商	psyz
承印	phnf
承受	phte
承受力	ptau
承受能力	ptna
承台	phni
承平	phlv
承应	phgh
承建	phuv
承当	phos
承德	phjg
承情	phnz
承想	phag
承担	phpj
承接	phpy
承揽	phpk
承望	phxm
承欢	phwf
承欢膝下	pwmf
承租	phzr
承继	phrm
承蒙	phwe
承袭	phjo
承认	phvs
承让	phvd
承诺	phvw
承购	phds
承贷	phkn
承转	phyr
承载	phgi
承运	phpl
承重	phhd
承销	phco
承题	phjk
技不如人	pcss
技击	pbpz
技嘉	pbha
技工	pbnv
技工学校	pnha
技巧	pbnf
技师	pbkf
技改	pbjr
技术	pbao
技术人员	pasi
技术员	paid
技术咨询	palv
技术开发	pafi
技术性	pand
技术科	pazp
技术装备	panj
技术转让	payv
技术革命	pagt
技术革新	pagy
技校	pbac
技法	pbhb
技能	pbnm
技艺	pbwj
技高一筹	pwfz
抄件	pokl
抄写	poef
抄家	poek
抄底	pogq
抄录	posh
抄手	popc
抄报	popw
抄本	poaf
抄没	pohq
抄表	pozo
抄袭	pojo
抄送	povx
抉择	pepw
把兄弟	pivu
把关	pevx
把势	pept
把子	peyd
把它	peeh
把守	peel
把家	peek
把式	penn
把戏	pewi
把手	pepc
把持	pepb
把握	pepm
把柄	peaf
把玩	pegr
把盏	pefi
把稳	pezr
把脉	pemo
把舵	pele
把酒	peht
把门	pebo
把风	pepo
抑制	pnlu
抑或	pnii
抑扬顿挫	ppfp
抑止	pnld
抑郁	pngm
抑郁寡欢	pgew
抑郁症	pgxf
抒写	pmef
抒发	pmiw
抒怀	pmnc
抒情	pmnz
抓举	pthv
抓人	ptsi
抓住	ptko
抓到	ptck
抓取	ptqw
抓哏	ptit
抓图	ptuj
抓好	ptsy
抓拍	ptpd
抓挠	ptpi
抓捕	ptpg
抓捕归案	ppke
抓牢	ptel
抓狂	ptlg
抓着	ptig
抓瞎	ptge
抓破	ptqe
抓紧	ptkw
抓耳挠腮	pqpm
抓药	ptwr
抓获	ptwl
抓贼	ptdi
抓走	ptqo
抓起	ptqj
抓阄	ptbs
投下	pqfd
投中	pqik
投井下石	pbfq
投产	pqyo
投亲	pqya
投亲靠友	pylg
投保	pqki
投入	pqxj
投入产出	pxyi
投其所好	pmfs
投军	pqey
投医	pqee
投合	pqti
投契	pqzk
投奔	pqxg
投宿	pqek
投寄	pqex
投射	pqll
投弹	pqov
投影	pqjw
投怀送抱	pnvp
投掷	pqpv
投放	pqmr
投效	pqco
投敌	pqvr
投料	pqmp
投映	pqjz
投机	pqap
投机倒把	pakp
投机取巧	paqn
投标	pqad
投桃报李	papa
投案	pqes
投案自首	pecv
投档	pqao
投毒	pqzq
投注	pqho
投球	pqgf
投生	pqdh
投畀豺虎	pslq
投石问路	pqbu
投票	pqqd
投稿	pqzw
投笔从戎	pzsi
投篮	pqzk
投缘	pqrs
投缳	pqry
投考	pqrf
投胎	pqmn
投药	pqwr
投诉	pqvo
投诚	pqvu
投资	pqlf
投资人	plsi
投资公司	plvp
投资商	plyz
投资方	plmx
投资者	plrj
投资银行	plcf
投身	pqlc
投进	pqbl
投送	pqvx
投递	pqvu
投递员	pvid
投降	pqtj
投靠	pqli
投鼠忌器	pqjr
抖动	pppa
抖擞	pppm
抖擞精神	ppmd
抖落	ppwh
抖音	ppar
抖颤	ppuu
抗争	puru
抗体	puka
抗击	pupz
抗原	puod
抗命	puti
抗婚	pusq
抗御	puju
抗性	pund
抗战	pudi
抗拒	pupe
抗拒从严	ppsf
抗敌	puvr
抗日	puje
抗日战争	pjdr
抗旱	pujl
抗暴	pujx
抗毒	puzq
抗毒素	pzzh
抗法	puhb
抗洪	puhx
抗洪抢险	phpt
抗洪救灾	phfe
抗灾	puey
抗生素	pdzh
抗疫	puxq
抗病	puxf
抗病毒	pxzq
抗癌	puxi
抗税	puzv
抗美援朝	pipg
抗药性	pwnd
抗菌	puwu
抗菌素	pwzh
抗衡	pufe
抗议	puvo
抗诉	puvo
抗辩	pujv
抗逆	puvi
抗震	putq
抗非	pudm
抗风	pupo
折中	poik
折价	poks
折光	posj
折冲	poli
折半	povp
折叠	poww
折合	poti
折回	poui
折子	poyd
折寿	pozl
折射	poll
折弯	pouy
折成	poup
折戟沉沙	pghh
折扇	pofe
折扣	popi
折抵	popq
折损	popi
折断	pomp
折旧	pokj
折服	pomw
折本	poaf
折桂	poab
折磨	pooq
折算	pozg
折纸	porq
折线	porf
折耗	pofo
折腰	pomq
折腾	pomv
折衷	powk
折让	povd
折返	poow
抚今追昔	ptcx
抚养	puio
抚养费	piud
抚州	pujj
抚平	pulv
抚恤	punc
抚恤金	pntk
抚慰	pumd
抚掌	puxp
抚摩	puop
抚摸	pupw
抚爱	pute
抚琴	pugg
抚育	pupm
抚顺	pujk
抛下	pdfd
抛光	pdsj
抛出	pdiz
抛却	pdbn
抛售	pdvi
抛头露面	plth
抛射	pdll
抛开	pdfw
抛弃	pdpw
抛掉	pdpd
抛掷	pdpv
